ItemID,ebay_id,instock_qty,warehouse_qty,ebay_team_qty,newitemreceiveddate,last_upload_date,ebay_status,last_markedforebay
CastPanelPackU1,,1,0,0,7/13/2022,8/4/2022,,
CBT1000WHU1,,1,1,0,8/24/2022,9/7/2022,,
CBT70JE1U1,,1,1,0,1/13/2022,1/18/2022,,
CBT70JE1U2,,1,1,0,6/24/2022,7/12/2022,,
CD60SDRPNATU1,76419,1,1,0,8/25/2022,3/16/2021,Shipped,5/18/2021
CDJMIX12IndusU1,,1,1,0,9/24/2022,10/14/2022,,
CDL12PRIGGRIDU1,,1,1,0,10/4/2022,10/21/2021,,
CDLRigGridU2,,1,1,0,7/11/2022,9/7/2022,,
CDS1175-D4U1,,1,1,0,10/19/2022,2/7/2022,,
CE500DU1,,1,1,0,9/23/2022,6/23/2022,,
CH06U1,,1,0,1,11/21/2022,11/4/2021,,
CHR15U1,,1,1,0,5/20/2022,5/31/2022,,
CometChrU1,,1,0,0,11/1/2022,11/10/2022,,
CompadreCompU1,,1,1,0,11/11/2022,1/26/2022,,
CompadreCompU2,,1,1,0,11/18/2022,12/8/2021,,
CompadreCompU3,,1,1,0,11/22/2022,12/16/2021,,
Conn112HU2,,1,0,0,11/1/2022,11/9/2022,,
Connect704DU1,,1,1,0,8/5/2022,8/15/2022,,
Connect84U1,,1,1,0,3/5/2022,3/11/2022,,
Control23-1BKU1,55330,1,0,0,11/4/2022,9/18/2019,Shipped,5/22/2018
CornerImpPU1,,1,1,0,11/2/2022,11/10/2022,,
CR5XBTU1,,1,1,0,10/13/2022,4/11/2022,,
CryBeatNBDU1,86767,1,1,0,11/8/2021,11/24/2021,On Invoice,10/20/2022
CS68WHU1,,1,1,0,7/30/2022,9/19/2022,,
CSPA56U3,,1,1,0,10/5/2022,11/8/2021,,
CSPS42DU1,,1,1,0,11/1/2022,11/8/2022,,
CSPSTS5DGU1,,1,1,0,9/8/2022,10/25/2022,,
CSPSTS5DGU2,,1,1,0,9/8/2022,10/25/2022,,
CT290490CU1,,1,1,0,8/19/2022,10/18/2022,,
CV605BKU1,,1,1,0,8/31/2022,9/1/2022,,
CV605U3BkU1,,1,1,0,11/22/2022,11/25/2022,,
DB2128U1,,1,1,0,9/7/2022,7/7/2021,,
DB25XF20JU1,,1,1,0,10/12/2022,10/17/2022,,
DCPMBBSWXU1,,1,1,0,11/21/2022,11/21/2022,,
DDACK22U1,,1,1,0,10/7/2022,10/24/2022,,
DDACS14U1,,1,1,0,11/8/2022,11/14/2022,,
DDACSM5pcU1,,1,1,0,10/19/2022,12/16/2021,,
DDLMNBDBLU1,,1,1,0,7/7/2022,7/25/2022,,
DDLMNBDBSU2,87352,1,1,0,10/24/2022,11/17/2022,Post #2,11/17/2022
DDRSTourPckU2,,1,1,0,11/18/2022,11/25/2022,,
DecoTapeV2U1,,1,0,0,11/25/2022,9/19/2022,,
DecoTapeV2U2,,1,0,0,10/5/2022,9/2/2022,,
DH5TO-LM3U1,,1,1,0,11/12/2022,11/17/2022,,
disYDP164BWU1,,1,1,0,4/7/2022,4/29/2022,,
DRKT63C091U1,,1,1,0,2/26/2022,3/3/2022,,
DRM315PU1,,1,1,0,5/20/2022,5/31/2022,,
DTX-PROU1,,1,1,0,9/26/2022,10/10/2022,,
DWCP3500TAU1,,1,0,0,10/4/2022,3/9/2021,,
DWCP6700ULU1,,1,1,0,10/27/2022,11/4/2022,,
DWCP6700ULU2,87479,1,1,0,10/27/2022,11/25/2022,Post #1,11/23/2022
DWCP6700ULU3,87461,1,1,0,10/27/2022,11/23/2022,Post #1,11/23/2022
DX1ENMU2,,1,1,0,7/8/2022,7/13/2022,,
EA7U1,,1,1,0,5/9/2022,5/17/2022,,
EBICSU1,,1,1,0,9/12/2022,11/1/2022,,
EDBSEGKBNFU1,83779,1,1,0,10/11/2022,6/7/2022,Shipped,6/2/2022
EDCertCEBESMU1,,1,1,0,11/15/2022,11/15/2022,,
EDREADU2,,1,0,0,11/18/2022,9/28/2022,,
EKX12U1,,1,1,0,11/15/2022,11/21/2022,,
EKX15PU1,86250,1,0,0,11/21/2022,4/5/2022,Shipped,9/20/2022
ELCapistanEchoU1,62732,1,1,0,11/9/2022,5/5/2022,Shipped,3/20/2019
ElCapistanV2U2,,1,0,0,11/23/2022,9/19/2022,,
ElectribeSRDU1,,1,1,0,11/16/2022,11/18/2022,,
ElementCabSimU1,,1,1,0,11/15/2022,11/17/2022,,
ELMonStdBlkU1,,1,0,0,11/1/2022,11/5/2022,,
ELMonStdBlkU2,,1,1,0,11/1/2022,11/4/2022,,
ELX200-12PU1,,1,1,0,9/28/2022,5/29/2020,,
ELX200-12PWTU1,,1,1,0,11/11/2022,11/18/2022,,
ELX200-12SU2,,1,1,0,3/21/2022,4/4/2022,,
ELX200-18SU2,,1,1,0,10/11/2022,10/19/2022,,
ELX200-BRKTU3,,1,1,0,9/1/2022,9/26/2022,,
EON10CVRWHU1,,1,1,0,8/24/2021,9/8/2021,,
EON715BagU2,,1,1,0,8/1/2022,8/17/2022,,
EONOneMKIIU1,,1,0,1,11/22/2022,1/22/2022,,
EP4000U1,,1,1,0,11/18/2022,9/13/2021,,
EPR5U1,,1,1,0,11/1/2022,8/16/2019,,
ErisE8XTU1,,1,1,0,11/14/2022,10/8/2019,,
EtherShld100JU1,,1,1,0,8/11/2022,8/15/2022,,
EtherShld100U1,,1,1,0,11/11/2022,3/1/2022,,
ETX15SPU1,,1,1,0,11/3/2022,12/22/2021,,
ETX35PU4,56746,1,0,0,11/22/2022,5/24/2021,Shipped,7/12/2018
EW112G3-AU1,,1,1,0,10/12/2022,10/18/2022,,
EW1835G4-AU1,,1,0,0,10/21/2022,3/24/2020,,
EWD835-Q16U1,,1,1,0,11/9/2022,11/15/2022,,
EX1U2,,1,1,0,9/20/2022,9/23/2022,,
E-XCLEFBKU1,,1,1,0,10/24/2022,6/25/2021,,
EXX22C31NRTHWU2,,1,1,0,10/10/2022,10/17/2022,,
EXX22C-31NRTU2,,1,1,0,10/10/2022,10/17/2022,,
FA06U3,,1,1,0,10/7/2022,11/18/2021,,
FalloutSSCARU1,,1,1,0,9/21/2022,9/21/2022,,
Fill50HU2,,1,1,0,11/2/2022,5/21/2021,,
FlexRack2U1,,1,1,0,11/10/2022,11/15/2022,,
FlintV2U1,,1,0,0,11/23/2022,8/10/2022,,
FloorBx6PU1,,1,1,0,5/6/2022,5/16/2022,,
FP90XBKU1,,1,1,0,10/24/2022,11/9/2022,,
FreeFlex6pkU1,,1,0,1,11/22/2022,7/7/2021,,
FRX1502U1,,1,1,0,8/30/2022,9/6/2022,,
FultPMITBU2,,1,1,0,10/13/2022,10/13/2022,,
FZGSPBM10WBLU1,,1,1,0,9/1/2022,10/31/2022,,
FZGSXDJXZW1BLU1,,1,1,0,10/27/2022,6/2/2022,,
G12HAnn16U1,,1,1,0,10/6/2022,10/17/2022,,
G5220EJBTJGU1,,1,1,0,9/19/2022,9/19/2022,,
G5230TBKd1,,1,0,0,6/7/2022,1/25/2022,,
G5260TEJBMSU2,,1,1,0,11/14/2022,11/14/2022,,
G5260TEJBMSU3,,1,1,0,11/15/2022,11/15/2022,,
G5422G12EHDSBU1,,1,1,0,10/19/2022,10/19/2022,,
GA251MkIIU1,,1,1,0,10/31/2022,11/2/2022,,
GA2-XSW2U1,,1,1,0,11/17/2022,11/25/2022,,
GA8000U1,,1,1,0,9/28/2022,10/18/2022,,
GCDEEPBOWLU1,,1,1,0,10/25/2022,11/10/2022,,
GCElecAU6,,1,1,0,2/7/2022,2/14/2022,,
Gemini2U1,,1,1,0,10/20/2022,10/25/2022,,
GK76U2,,1,1,0,10/13/2022,10/26/2022,,
GKSDBKT88U1,,1,1,0,9/30/2022,10/26/2022,,
GLXD4-Z2U1,,1,1,0,11/10/2022,11/15/2022,,
